Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Bad Idea AI USD,BAD-USD,2023-09-14,6.58121592778116e-08,6.746473246721507e-08,6.452600587181223e-08,6.658297024841886e-08,6.658297024841886e-08,1148173
Bad Idea AI USD,BAD-USD,2023-09-15,6.505599259298833e-08,6.544981090428338e-08,6.387431739085514e-08,6.530503071644489e-08,6.530503071644489e-08,1217506
Bad Idea AI USD,BAD-USD,2023-09-16,5.965618754544266e-08,6.403671903854048e-08,5.9448204581258324e-08,6.098647986618745e-08,6.098647986618745e-08,1258915
Bad Idea AI USD,BAD-USD,2023-09-17,6.098161975387485e-08,6.101882377151925e-08,5.6879290610822864e-08,5.71620333289502e-08,5.71620333289502e-08,936670
Bad Idea AI USD,BAD-USD,2023-09-18,5.733890162673561e-08,6.235000427068371e-08,5.5493231343461984e-08,5.6473133724921374e-08,5.6473133724921374e-08,1647894
Bad Idea AI USD,BAD-USD,2023-09-19,5.6362654987651695e-08,5.835909533402629e-08,5.5715972280268034e-08,5.662318613985917e-08,5.662318613985917e-08,1077301
Bad Idea AI USD,BAD-USD,2023-09-20,5.744861653056432e-08,5.744861653056432e-08,4.9091976705994966e-08,5.012798354187e-08,5.012798354187e-08,1411334
Bad Idea AI USD,BAD-USD,2023-09-21,4.973048106649004e-08,5.1466411576939215e-08,4.582443935419178e-08,4.872504888453477e-08,4.872504888453477e-08,1424822
Bad Idea AI USD,BAD-USD,2023-09-24,4.568585509900913e-08,4.748148896283057e-08,4.5684807048473886e-08,4.748148896283057e-08,4.748148896283057e-08,1060314
Bad Idea AI USD,BAD-USD,2023-09-25,4.517885798804856e-08,4.570403078218988e-08,4.3801069438131897e-08,4.51878321428012e-08,4.51878321428012e-08,954987
Bad Idea AI USD,BAD-USD,2023-09-26,4.527409203092248e-08,4.569066902604391e-08,3.3820384714999825e-08,3.640081658318196e-08,3.640081658318196e-08,1927362
Bad Idea AI USD,BAD-USD,2023-09-27,3.649264712635159e-08,4.000002817861059e-08,3.3628381856942724e-08,3.7387533069477286e-08,3.7387533069477286e-08,1566910
Bad Idea AI USD,BAD-USD,2023-09-28,3.861131148141794e-08,4.5372363643991775e-08,3.699548400959429e-08,3.904052547909488e-08,3.904052547909488e-08,1473892
Bad Idea AI USD,BAD-USD,2023-09-29,3.871919673770208e-08,4.476085635474193e-08,3.839088691393045e-08,4.2630389884834585e-08,4.2630389884834585e-08,1201819
Bad Idea AI USD,BAD-USD,2023-09-30,4.27731379204488e-08,5.7480473714122133e-08,4.2476287376302935e-08,5.4998732679223394e-08,5.4998732679223394e-08,2038196
Bad Idea AI USD,BAD-USD,2023-10-01,4.929517061214028e-08,5.320859841617676e-08,4.7752699572356505e-08,5.199910546593856e-08,5.199910546593856e-08,1713556
Bad Idea AI USD,BAD-USD,2023-10-02,5.23704493105015e-08,5.23704493105015e-08,4.878574699773709e-08,5.0077176183549454e-08,5.0077176183549454e-08,1319660
Bad Idea AI USD,BAD-USD,2023-10-03,5.011803594356935e-08,5.3090388973942026e-08,4.921614760178272e-08,5.12988300727102e-08,5.12988300727102e-08,1152921
Bad Idea AI USD,BAD-USD,2023-10-05,5.032545402627876e-08,5.1399837275312166e-08,4.929355057470276e-08,5.137896863516289e-08,5.137896863516289e-08,1539419
Bad Idea AI USD,BAD-USD,2023-10-06,6.107196526272676e-08,7.730589857146698e-08,6.107196526272676e-08,6.651905692933724e-08,6.651905692933724e-08,3291610
Bad Idea AI USD,BAD-USD,2023-10-07,6.386699169524945e-08,7.719544470319306e-08,6.30810106372337e-08,7.286386249916178e-08,7.286386249916178e-08,2470426
Bad Idea AI USD,BAD-USD,2023-10-08,7.094281073705133e-08,7.10847771756562e-08,5.7483848792116994e-08,6.178681388746554e-08,6.178681388746554e-08,1856173
Bad Idea AI USD,BAD-USD,2023-10-09,5.95967897254468e-08,6.177688050001964e-08,5.462145580281685e-08,5.5889842087708537e-08,5.5889842087708537e-08,1485970
Bad Idea AI USD,BAD-USD,2023-10-10,5.299606442576987e-08,5.500602640040597e-08,4.875952086536017e-08,5.165594174627586e-08,5.165594174627586e-08,1861768
Bad Idea AI USD,BAD-USD,2023-10-11,5.097151500876863e-08,5.5454911773722415e-08,5.010504722235965e-08,5.0979231502878974e-08,5.0979231502878974e-08,1439969
Bad Idea AI USD,BAD-USD,2023-10-12,5.143250092487506e-08,5.476807274362727e-08,5.016882909103516e-08,5.23302325916575e-08,5.23302325916575e-08,1193535
Bad Idea AI USD,BAD-USD,2023-10-13,5.23633438831439e-08,5.592603713466816e-08,5.222972276897053e-08,5.2757084034738e-08,5.2757084034738e-08,1180559
Bad Idea AI USD,BAD-USD,2023-10-14,5.263872182581508e-08,5.4121610304491696e-08,4.6787054230890135e-08,4.817843546334189e-08,4.817843546334189e-08,1483707
Bad Idea AI USD,BAD-USD,2023-10-15,4.8417717835036456e-08,5.150887005811455e-08,4.83478785895386e-08,4.899285599435643e-08,4.899285599435643e-08,1131746
