Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Catcoin BSC USD,CAT23921-USD,2023-03-13,0.0,0.0,0.0,0.0,0.0,94865
Catcoin BSC USD,CAT23921-USD,2023-03-14,0.0,0.0,0.0,0.0,0.0,64569
Catcoin BSC USD,CAT23921-USD,2023-03-15,0.0,0.0,0.0,0.0,0.0,59317
Catcoin BSC USD,CAT23921-USD,2023-03-16,0.0,0.0,0.0,0.0,0.0,66260
Catcoin BSC USD,CAT23921-USD,2023-03-17,0.0,0.0,0.0,0.0,0.0,24011
Catcoin BSC USD,CAT23921-USD,2023-03-18,0.0,0.0,0.0,0.0,0.0,32305
Catcoin BSC USD,CAT23921-USD,2023-03-19,0.0,0.0,0.0,0.0,0.0,40403
Catcoin BSC USD,CAT23921-USD,2023-03-20,0.0,0.0,0.0,0.0,0.0,42337
Catcoin BSC USD,CAT23921-USD,2023-03-21,0.0,0.0,0.0,0.0,0.0,30212
Catcoin BSC USD,CAT23921-USD,2023-03-22,0.0,0.0,0.0,0.0,0.0,330310
Catcoin BSC USD,CAT23921-USD,2023-03-23,0.0,0.0,0.0,0.0,0.0,332766
Catcoin BSC USD,CAT23921-USD,2023-03-24,0.0,0.0,0.0,0.0,0.0,360582
Catcoin BSC USD,CAT23921-USD,2023-03-25,0.0,0.0,0.0,0.0,0.0,17126
Catcoin BSC USD,CAT23921-USD,2023-03-26,0.0,0.0,0.0,0.0,0.0,12303
Catcoin BSC USD,CAT23921-USD,2023-03-27,0.0,0.0,0.0,0.0,0.0,17887
Catcoin BSC USD,CAT23921-USD,2023-03-28,0.0,0.0,0.0,0.0,0.0,21577
Catcoin BSC USD,CAT23921-USD,2023-03-29,0.0,0.0,0.0,0.0,0.0,23112
Catcoin BSC USD,CAT23921-USD,2023-03-30,0.0,0.0,0.0,0.0,0.0,32726
Catcoin BSC USD,CAT23921-USD,2023-03-31,0.0,0.0,0.0,0.0,0.0,19168
Catcoin BSC USD,CAT23921-USD,2023-04-01,0.0,0.0,0.0,0.0,0.0,68511
