Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
CEO DOGE USD,CEODOGE-USD,2023-04-18,0.0,0.0,0.0,0.0,0.0,131475
CEO DOGE USD,CEODOGE-USD,2023-04-19,0.0,0.0,0.0,0.0,0.0,502928
CEO DOGE USD,CEODOGE-USD,2023-04-20,0.0,0.0,0.0,0.0,0.0,85615
CEO DOGE USD,CEODOGE-USD,2023-04-21,0.0,0.0,0.0,0.0,0.0,17535
CEO DOGE USD,CEODOGE-USD,2023-04-22,0.0,0.0,0.0,0.0,0.0,37147
CEO DOGE USD,CEODOGE-USD,2023-04-23,0.0,0.0,0.0,0.0,0.0,88205
CEO DOGE USD,CEODOGE-USD,2023-04-24,0.0,0.0,0.0,0.0,0.0,15254
CEO DOGE USD,CEODOGE-USD,2023-04-25,0.0,0.0,0.0,0.0,0.0,49267
CEO DOGE USD,CEODOGE-USD,2023-04-26,0.0,0.0,0.0,0.0,0.0,20519
CEO DOGE USD,CEODOGE-USD,2023-04-27,0.0,0.0,0.0,0.0,0.0,9290
CEO DOGE USD,CEODOGE-USD,2023-04-28,0.0,0.0,0.0,0.0,0.0,6944
CEO DOGE USD,CEODOGE-USD,2023-04-29,0.0,0.0,0.0,0.0,0.0,2207
CEO DOGE USD,CEODOGE-USD,2023-04-30,0.0,0.0,0.0,0.0,0.0,6406
CEO DOGE USD,CEODOGE-USD,2023-05-01,0.0,0.0,0.0,0.0,0.0,19311
CEO DOGE USD,CEODOGE-USD,2023-05-02,0.0,0.0,0.0,0.0,0.0,5400
CEO DOGE USD,CEODOGE-USD,2023-05-03,0.0,0.0,0.0,0.0,0.0,2194
CEO DOGE USD,CEODOGE-USD,2023-05-04,0.0,0.0,0.0,0.0,0.0,2110
CEO DOGE USD,CEODOGE-USD,2023-05-05,0.0,0.0,0.0,0.0,0.0,4649
CEO DOGE USD,CEODOGE-USD,2023-05-06,0.0,0.0,0.0,0.0,0.0,1086
CEO DOGE USD,CEODOGE-USD,2023-05-07,0.0,0.0,0.0,0.0,0.0,923
CEO DOGE USD,CEODOGE-USD,2023-05-08,0.0,0.0,0.0,0.0,0.0,811
CEO DOGE USD,CEODOGE-USD,2023-05-09,0.0,0.0,0.0,0.0,0.0,1010
CEO DOGE USD,CEODOGE-USD,2023-05-10,0.0,0.0,0.0,0.0,0.0,1704
CEO DOGE USD,CEODOGE-USD,2023-05-11,0.0,0.0,0.0,0.0,0.0,649
CEO DOGE USD,CEODOGE-USD,2023-05-12,0.0,0.0,0.0,0.0,0.0,575
CEO DOGE USD,CEODOGE-USD,2023-05-13,0.0,0.0,0.0,0.0,0.0,197
CEO DOGE USD,CEODOGE-USD,2023-05-14,0.0,0.0,0.0,0.0,0.0,130
CEO DOGE USD,CEODOGE-USD,2023-05-15,0.0,0.0,0.0,0.0,0.0,176
CEO DOGE USD,CEODOGE-USD,2023-05-16,0.0,0.0,0.0,0.0,0.0,310
CEO DOGE USD,CEODOGE-USD,2023-05-17,0.0,0.0,0.0,0.0,0.0,421
CEO DOGE USD,CEODOGE-USD,2023-05-18,0.0,0.0,0.0,0.0,0.0,322
CEO DOGE USD,CEODOGE-USD,2023-05-19,0.0,0.0,0.0,0.0,0.0,91
CEO DOGE USD,CEODOGE-USD,2023-05-20,0.0,0.0,0.0,0.0,0.0,40
