Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Pepe 2.0 USD,PEPE2027276-USD,2023-09-14,7.722359640638388e-09,8.189418032600315e-09,7.427218395861246e-09,7.542133140248097e-09,7.542133140248097e-09,1240129
Pepe 2.0 USD,PEPE2027276-USD,2023-09-15,7.524428191629795e-09,7.524428191629795e-09,7.381204980561051e-09,7.40499128681904e-09,7.40499128681904e-09,1006021
Pepe 2.0 USD,PEPE2027276-USD,2023-09-18,7.1739916229773826e-09,7.359441056564718e-09,6.7403562731271904e-09,6.862234336324491e-09,6.862234336324491e-09,992604
Pepe 2.0 USD,PEPE2027276-USD,2023-09-19,6.85560186397538e-09,7.008932545460311e-09,6.7758945121454425e-09,6.907603378181193e-09,6.907603378181193e-09,682833
Pepe 2.0 USD,PEPE2027276-USD,2023-09-20,6.897582949250136e-09,8.196203715726824e-09,6.771629479374042e-09,7.579182614847468e-09,7.579182614847468e-09,2882832
Pepe 2.0 USD,PEPE2027276-USD,2023-09-21,7.668076840161575e-09,7.670471369181087e-09,6.867411084243713e-09,6.889244286156781e-09,6.889244286156781e-09,1236379
Pepe 2.0 USD,PEPE2027276-USD,2023-09-24,7.071132124281121e-09,7.081949249254649e-09,7.044531180611102e-09,7.060394047186946e-09,7.060394047186946e-09,798702
Pepe 2.0 USD,PEPE2027276-USD,2023-09-25,7.1189965034079705e-09,7.153951209204479e-09,6.910346517230437e-09,6.945337638342153e-09,6.945337638342153e-09,813548
Pepe 2.0 USD,PEPE2027276-USD,2023-09-26,6.959069764889136e-09,7.124136391922775e-09,6.683913422733667e-09,6.708773092611864e-09,6.708773092611864e-09,964666
Pepe 2.0 USD,PEPE2027276-USD,2023-09-27,6.687060682963874e-09,7.1045453964302405e-09,6.687060682963874e-09,7.061194295943096e-09,7.061194295943096e-09,874260
Pepe 2.0 USD,PEPE2027276-USD,2023-09-28,7.0879919711330786e-09,7.114774991379136e-09,6.886986536613904e-09,6.907069138861743e-09,6.907069138861743e-09,644644
Pepe 2.0 USD,PEPE2027276-USD,2023-09-29,6.911287542266109e-09,7.208036389982908e-09,6.8835808164635645e-09,6.97727386977931e-09,6.97727386977931e-09,965132
Pepe 2.0 USD,PEPE2027276-USD,2023-09-30,6.949266939670906e-09,7.042399552403822e-09,6.862496348958302e-09,6.9097132460171914e-09,6.9097132460171914e-09,679826
Pepe 2.0 USD,PEPE2027276-USD,2023-10-01,6.921348827404472e-09,7.0834156318255745e-09,6.843636324305181e-09,7.0834156318255745e-09,7.0834156318255745e-09,726349
Pepe 2.0 USD,PEPE2027276-USD,2023-10-02,7.069451690711048e-09,7.160725790100741e-09,6.848910771850569e-09,6.932115770297287e-09,6.932115770297287e-09,797658
Pepe 2.0 USD,PEPE2027276-USD,2023-10-05,6.786363471178447e-09,6.786363471178447e-09,6.716774247905732e-09,6.729655055437433e-09,6.729655055437433e-09,644609
Pepe 2.0 USD,PEPE2027276-USD,2023-10-06,5.6862843322846865e-09,6.221041015663786e-09,5.6752580412933185e-09,6.038768596283717e-09,6.038768596283717e-09,1601961
Pepe 2.0 USD,PEPE2027276-USD,2023-10-07,6.024559962014564e-09,6.1658491645744115e-09,5.8329336916074234e-09,5.9464517754292964e-09,5.9464517754292964e-09,739704
Pepe 2.0 USD,PEPE2027276-USD,2023-10-08,5.908862732439957e-09,5.950737236304349e-09,5.634775313012597e-09,5.72513148000553e-09,5.72513148000553e-09,880061
Pepe 2.0 USD,PEPE2027276-USD,2023-10-09,5.649997802947837e-09,5.698042482293886e-09,5.177008155499152e-09,5.3626392215733185e-09,5.3626392215733185e-09,867596
Pepe 2.0 USD,PEPE2027276-USD,2023-10-10,5.628236543486764e-09,5.686540127669559e-09,5.444192652248603e-09,5.609101627612745e-09,5.609101627612745e-09,868119
Pepe 2.0 USD,PEPE2027276-USD,2023-10-12,5.562409643999899e-09,5.7019202692742965e-09,5.465291330608579e-09,5.585201634517034e-09,5.585201634517034e-09,781145
Pepe 2.0 USD,PEPE2027276-USD,2023-10-13,5.60292523488215e-09,6.100878913173346e-09,5.60292523488215e-09,6.100878913173346e-09,6.100878913173346e-09,701683
Pepe 2.0 USD,PEPE2027276-USD,2023-10-14,6.056394497022666e-09,6.102930161233644e-09,5.8048645890096395e-09,5.885059550791993e-09,5.885059550791993e-09,730419
Pepe 2.0 USD,PEPE2027276-USD,2023-10-15,5.911172884509597e-09,6.7695236083409335e-09,5.863652674520381e-09,6.757910675503353e-09,6.757910675503353e-09,1067726
Pepe 2.0 USD,PEPE2027276-USD,2023-10-18,1.0433659269892814e-08,1.6927799606492044e-08,1.0335819311535488e-08,1.5007755038709547e-08,1.5007755038709547e-08,13772998
Pepe 2.0 USD,PEPE2027276-USD,2023-10-19,1.5699074040753658e-08,1.5840692313418003e-08,1.1794154985977912e-08,1.206306077250474e-08,1.206306077250474e-08,8865872
Pepe 2.0 USD,PEPE2027276-USD,2023-10-20,1.2417273431708509e-08,1.4514647261876236e-08,1.2310721331232344e-08,1.2795490000883092e-08,1.2795490000883092e-08,4331439
Pepe 2.0 USD,PEPE2027276-USD,2023-10-21,1.2389867798390242e-08,1.3069173299129488e-08,1.1707141922556733e-08,1.2008915639682982e-08,1.2008915639682982e-08,3341939
Pepe 2.0 USD,PEPE2027276-USD,2023-10-22,1.1978076308594154e-08,1.2517095804298606e-08,1.1885347817042202e-08,1.1942488775673611e-08,1.1942488775673611e-08,1911480
Pepe 2.0 USD,PEPE2027276-USD,2023-10-23,1.235391255960394e-08,1.4236552381419187e-08,1.2194542264865051e-08,1.330354226780628e-08,1.330354226780628e-08,3084703
Pepe 2.0 USD,PEPE2027276-USD,2023-10-24,1.4486734478680319e-08,1.7183733547199154e-08,1.4486734478680319e-08,1.649375391821195e-08,1.649375391821195e-08,5564058
